SiteID,Location,Apt,City,1st_Btl_ID,2nd_Btl_ID,1stDraw_SampDT,2ndDraw_SampDT,1stDraw_Pb_ppb,2ndDraw_Pb_ppb,1stDraw_Cu_ppb,2ndDraw_Cu_ppb,1stDraw_Specific_Conductance_uS/cm,2ndDraw_Specific_Conductance_uS/cm,1stDraw_Pb-TestDT,2ndDraw_Pb-TestDT,1stDraw_Cu-TestDT,2ndDraw_Cu-TestDT,1stDraw_SC-TestDT,2ndDraw_SC-TestDT,Testing_Lab
18103304J,345  EAST 101ST STREET,04J,NEW YORK,AL-58776,AL-58777,3/18/16 17:55,3/18/16 18:00,1249,0,1757,7,431.2,438.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
31307101K,2041  PACIFIC STREET,01K,BROOKLYN,AL-58832,AL-58833,3/18/16 17:02,3/18/16 17:05,947,3,1083,15,94.1,93.1,3/24/16,3/22/16,3/24/16,3/22/16,3/22/16,3/22/16,Lefrak
05200604E,34  DONGAN HILLS AVENUE,04E,STATEN ISLAND,AL-58466,AL-58467,3/18/16 18:00,3/18/16 18:03,675,158,7734,723,142.2,99.2,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
20000308H,110-01  62ND DRIVE,08H,FOREST HILLS,AL-58784,AL-58785,3/18/16 23:33,3/18/16 23:35,541,0,599,22,93.9,91.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
00704901B,16  JACKSON STREET,01B,NEW YORK,AL-58328,AL-58329,3/18/16 16:56,3/18/16 16:58,99,1,142,8,97.1,95.5,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
12400409A,2029  2ND AVENUE,09A,NEW YORK,AL-58714,AL-58715,3/18/16 18:35,3/18/16 18:38,89,0,2135,7,428.7,430.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
04802906G,15-Dec  36TH AVENUE,06G,ASTORIA,AL-58440,AL-58441,3/18/16 18:48,3/18/16 18:51,88,0,169,7,95.7,94.7,3/21/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
00601301C,648  WATER STREET,01C,NEW YORK,AL-58318,AL-58319,3/18/16 16:44,3/18/16 16:46,53,0,295,14,96.5,95.3,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
14200307C,3031  WEST 25TH STREET,07C,BROOKLYN,AL-58736,AL-58737,3/18/16 16:20,3/18/16 16:24,39,0,385,45,95.6,95,3/23/16,3/22/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
11100504A,200  WEST 143RD STREET,04A,NEW YORK,AL-58682,AL-58683,3/18/16 18:15,3/18/16 18:17,37,1,146,19,404.1,414,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
03305001D,50-25  NEWTOWN ROAD,01D,WOODSIDE,AL-58390,AL-58391,3/18/16 16:17,3/18/16 16:19,32,0,132,4,90.4,91.2,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
00503805B,41-07  VERNON BOULEVARD,05B,LONG ISLAND CITY,AL-58314,AL-58315,3/18/16 17:11,3/18/16 17:13,17,5,172,85,91.3,90,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
00601504E,640  WATER STREET,04E,NEW YORK,AL-58320,AL-58321,3/18/16 16:24,3/18/16 16:30,17,3,169,76,96.5,96.3,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08100114J,545  WEST 126TH STREET,14J,NEW YORK,AL-58566,AL-58567,3/18/16 18:05,3/18/16 18:07,14,0,100,14,95.6,94.8,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
08001105L,580  CASTLE HILL AVENUE,05L,BRONX,AL-58562,AL-58563,3/18/16 16:50,3/18/16 16:54,12,3,413,51,285.9,280.6,3/24/16,3/21/16,3/24/16,3/23/16,3/21/16,3/21/16,Lefrak
16600309G,2832  WEST 23RD STREET,09G,BROOKLYN,AL-58764,AL-58765,3/18/16 17:10,3/18/16 17:15,12,0,603,69,95.9,95.9,3/24/16,3/23/16,3/24/16,3/23/16,3/22/16,3/22/16,Lefrak
11400907G,77  HILL STREET,07G,STATEN ISLAND,AL-58696,AL-58697,3/18/16 16:06,3/18/16 16:08,11,0,94,14,92.2,92,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
08001401F,535  HAVEMEYER AVENUE,01F,BRONX,AL-58564,AL-58565,3/18/16 17:16,3/18/16 17:17,9,7,154,235,250.6,246.1,3/20/16,3/20/16,3/23/16,3/23/16,3/21/16,3/21/16,Lefrak
11100313F,2698  FREDERICK DOUGLASS BOULEVARD,13F,NEW YORK,AL-58680,AL-58681,3/18/16 18:37,3/18/16 18:39,8,12,40,29,423.8,425.4,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
22700904G,365 EAST 183RD STREET  WING F,04G,Bronx,AL-58806,AL-58807,3/18/16 16:49,3/18/16 16:51,7,0,47,5,98.8,96.8,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
04803605A,35-06  21ST STREET,05A,ASTORIA,AL-58442,AL-58443,3/18/16 19:14,3/18/16 19:18,7,0,55,6,95.7,94.7,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
08700104K,3170  BROADWAY,04K,NEW YORK,AL-58596,AL-58597,3/18/16 17:24,3/18/16 17:25,7,1,15,5,484.2,463.7,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
03901804G,2384  PAULDING AVENUE,04G,BRONX,AL-58408,AL-58409,3/18/16 17:07,3/18/16 17:08,6,0,126,38,93.7,93.8,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
26700214D,3073  PARK AVENUE,14D,BRONX,AL-58822,AL-58823,3/18/16 17:01,3/18/16 17:10,6,0,49,19,95,94.7,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
11200305E,435  EAST 105TH STREET,05E,NEW YORK,AL-58688,AL-58689,3/18/16 19:05,3/18/16 19:09,6,0,84,5,415.4,421.4,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
14101121F,1270  WEBSTER AVENUE,21F,BRONX,AL-58728,AL-58729,3/18/16 16:49,3/18/16 16:57,5,0,526,45,94.9,93.6,3/21/16,3/21/16,3/23/16,3/23/16,3/21/16,3/21/16,Lefrak
24700404D,330  WILSON AVENUE,04D,BROOKLYN,AL-58818,AL-58819,3/18/16 16:56,3/18/16 16:56,5,0,61,18,95.3,93.3,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
35105504A,1474  PARK PLACE,04A,BROOKLYN,AL-58850,AL-58851,3/18/16 17:36,3/18/16 17:38,5,0,170,18,94.4,94.4,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
05501404B,13-10  REDFERN AVENUE,04B,FAR ROCKAWAY,AL-58478,AL-58479,3/18/16 17:19,3/18/16 17:21,4,0,45,8,91.2,90.7,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
