SiteID,Development Name,Lead Service Pipe Location,Development with Child with EBL (2010 - 2015),Development with DOHMH Violation (2010-2015),Location,Apt,City,1st_Btl_ID,2nd_Btl_ID,1stDraw_SampDT,2ndDraw_SampDT,1stDraw_Pb_ppb,2ndDraw_Pb_ppb,1stDraw_Cu_ppb,2ndDraw_Cu_ppb,1stDraw_Specific_Conductance_uS/cm,2ndDraw_Specific_Conductance_uS/cm,1stDraw_Pb-TestDT,2ndDraw_Pb-TestDT,1stDraw_Cu-TestDT,2ndDraw_Cu-TestDT,1stDraw_SC-TestDT,2ndDraw_SC-TestDT,Testing_Lab
18103304J,METRO NORTH PLAZA,No,No,No,345  EAST 101ST STREET,04J,NEW YORK,AL-58776,AL-58777,3/18/16 17:55,3/18/16 18:00,1249,0,1757,7,431.2,438.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
31307101K,OCEAN HILL-BROWNSVILLE,No,No,No,2041  PACIFIC STREET,01K,BROOKLYN,AL-58832,AL-58833,3/18/16 17:02,3/18/16 17:05,947,3,1083,15,94.1,93.1,3/24/16,3/22/16,3/24/16,3/22/16,3/22/16,3/22/16,Lefrak
05200604E,BERRY,No,No,No,34  DONGAN HILLS AVENUE,04E,STATEN ISLAND,AL-58466,AL-58467,3/18/16 18:00,3/18/16 18:03,675,158,7734,723,142.2,99.2,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
20000308H,FOREST HILLS COOP,No,No,No,110-01  62ND DRIVE,08H,FOREST HILLS,AL-58784,AL-58785,3/18/16 23:33,3/18/16 23:35,541,0,599,22,93.9,91.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
00704901B,VLADECK II,No,No,No,16  JACKSON STREET,01B,NEW YORK,AL-58328,AL-58329,3/18/16 16:56,3/18/16 16:58,99,1,142,8,97.1,95.5,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
12400409A,WHITE,No,No,No,2029  2ND AVENUE,09A,NEW YORK,AL-58714,AL-58715,3/18/16 18:35,3/18/16 18:38,89,0,2135,7,428.7,430.1,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
04802906G,RAVENSWOOD,No,No,No,12-15 36TH AVENUE,06G,ASTORIA,AL-58440,AL-58441,3/18/16 18:48,3/18/16 18:51,88,0,169,7,95.7,94.7,3/21/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
00601301C,VLADECK,No,No,No,648  WATER STREET,01C,NEW YORK,AL-58318,AL-58319,3/18/16 16:44,3/18/16 16:46,53,0,295,14,96.5,95.3,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
14200307C,HABER,No,No,No,3031  WEST 25TH STREET,07C,BROOKLYN,AL-58736,AL-58737,3/18/16 16:20,3/18/16 16:24,39,0,385,45,95.6,95,3/23/16,3/22/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
11100504A,DREW-HAMILTON,No,No,No,200  WEST 143RD STREET,04A,NEW YORK,AL-58682,AL-58683,3/18/16 18:15,3/18/16 18:17,37,1,146,19,404.1,414,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
03305001D,WOODSIDE,No,No,No,50-25  NEWTOWN ROAD,01D,WOODSIDE,AL-58390,AL-58391,3/18/16 16:17,3/18/16 16:19,32,0,132,4,90.4,91.2,3/18/16,3/18/16,3/21/16,3/21/16,3/19/16,3/19/16,Kingston
00503805B,QUEENSBRIDGE SOUTH,No,No,No,41-07  VERNON BOULEVARD,05B,LONG ISLAND CITY,AL-58314,AL-58315,3/18/16 17:11,3/18/16 17:13,17,5,172,85,91.3,90,3/18/16,3/18/16,3/21/16,3/21/16,3/20/16,3/20/16,Kingston
00601504E,VLADECK,No,No,No,640  WATER STREET,04E,NEW YORK,AL-58320,AL-58321,3/18/16 16:24,3/18/16 16:30,17,3,169,76,96.5,96.3,3/18/16,3/18/16,3/20/16,3/20/16,3/19/16,3/19/16,Kingston
